appln_id;earliest_filing_year;person_ctry_code;cpc_class_symbol;nace2_code;appln_title;appln_abstract
48332311;1992;"US";"G06N   3/049";"26.2";"Method for operating a neural network with missing and/or incomplete data";"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12)."
48332311;1992;"US";"G06N   3/047";"26.2";"Method for operating a neural network with missing and/or incomplete data";"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12)."
53779347;1990;"US";"G06N   3/048";"26.2";"Operational speed improvement for neural network";"Higher operational speed is obtained without sacrificing computational accuracy and reliability in a neural network by interchanging a computationally complex nonlinear function with a similar but less complex nonlinear function in each neuron or computational element after each neuron of the network has been trained by an appropriate training algorithm for the classifying problem addressed by the neural network. In one exemplary embodiment, a hyperbolic tangent function is replaced by a piecewise linear threshold logic function."
46469565;1992;"JP";"Y10S 706/925";"26.2";"Economic phenomenon predicting and analyzing system using neural network";"An economic phenomenon predicting and/or analyzing system using a neural network. In the disclosed system, time series data indicating economic phenomena are input to preparation modules, and moving-average values and their differences are generated. One of the preparation modules performs a predetermined process over the time series data indicating an economic phenomenon, i.e. the change of TOPIX, to remove trends. A pattern sorter sorts the trend-free data into a certain number of groups. Average values of various time series data, their differences and the result of pattern sorting are input to input layer neurons of the network. The network is provided in advance with learning information of the change of TOPIX in the past. The output of the output layer neurons will be a value of prediction of the change of TOPIX. For the output of hidden layer neurons, principal components are obtained by principal analysis modules. A correlation analysis module obtains a distribution of frequency of principal component rankings and analyzes the correlation between the explanation variants and the output of the neural network based on the obtained distribution of frequency."
52886028;1990;"JP";"Y10S 706/902";"26.2";"Fuzzy backward reasoning device";"A sequential type Fuzzy backward reasoning device is disclosed, which is capable of performing computation progressively every time a feature quantity is observed to update reasoning, and of performing the reasoning even if the order of observations is arbitrary, by providing means for performing the sequential reasoning instead of batch type reasoning means, and feedback means for feeding back a reasoned result. Additionally, a target recognition device is disclosed, which is capable of computing the reliability of a recognized result on a target and outputting the same as a numerical value, by obtaining another recognition information even if there is not obtained any information concerning the target, using said sequential type Fuzzy backward reasoning device."
54229702;1992;"US";"G06N   3/049";"26.2";"Method for operating a neural network with missing and/or incomplete data";"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12)."
54229702;1992;"US";"G06N   3/047";"26.2";"Method for operating a neural network with missing and/or incomplete data";"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12)."
48312465;1991;"US";"G06N   3/047";"26.2";"Method and apparatus for pattern mapping system with self-reliability check";"A pattern mapping system provides indication of reliability of pattern or category selection indicated by output nodes. The indication of reliability includes a quantitative indication of error in the output and an indication when training is insufficient for the system to respond to the input pattern accurately. The error indication is based on error in the outputs produced by the system as trained in response to given inputs, and accuracy of fit of training data to the output. The insufficiency of the mapping system as trained is determined according to training data density local to the subject input pattern."
48448421;1991;"CA";"G05B  13/0275";"26.2";"Fuzzy logic controller";"This invention relates to a design and implementation of real-time knowledge-based fuzzy controller system for general purpose industrial applications. The invention relates to the design of an Intelligent system which implements a decision-making procedure based on approximation, association and reasoning with fuzzy patterns and their clearness assessments rather than the use of Max-Min computation over fuzzy relational matrices usually applied in approximate reasoning procedures in similar systems. According to this design fuzzy controller is a device which operates at the level of fuzzy pattern processing where each control task is expressed through the attributes of fuzzy patterns (syntax and content, domain and clearness measure), and the elementary cognitive activities which the human performs with these patterns such as: recognition, generation, assessment, association, pattern matching, approximation, etc. The fuzzy controller utilizes a new scheme for approximate reasoning with fuzzy patterns called the Clearness Transformation Rule of Inference (CTRI). This mechanism offers a spectrum of advantages broadening the functional Intelligence of the controller to handle complex human rusks, improving performance and accuracy of the controller and reduces the computational requirements. The fuzzy controller presented in the invention can be applied in general engineering practice, financial, medical, process control, pattern recognition and other areas requiring knowledge-based behaviour in decision making."
46370286;1990;"JP";"Y10S 706/90";"26.2";"Approximate reasoning apparatus";"An approximate reasoning apparatus converts input data into a degree of membership by a membership function, obtains an information quantity for each of a number of factors using the degree of membership, and obtains the possibility of a conclusion using the degree of membership and the information quantities. As a result, the accuracy of an information quantity which prevails at the moment data is entered is taken into consideration to obtain results of reasoning having a high identification capability. Further, a static information quantity of each factor is calculated, the clarity of each factor is obtained from the static information quantity, the clarity of a factor for which data has been entered is calculated from the clarity of each factor, and the finally calculated clarity is displayed as clarity regarding results of reasoning. This makes it possible to judge the reliability of the results of reasoning from the displayed clarity."
