appln_id;earliest_filing_year;person_ctry_code;cpc_class_symbol;nace2_code;appln_title;appln_abstract
49681431;1994;"US";"G06F  11/2257";"26.2";"Method of testing and predicting failures of electronic mechanical systems";"A method employing a knowledge base of human expertise comprising a reliability model analysis implemented for diagnostic routines is disclosed. The reliability analysis comprises digraph models that determine target events created by hardware failures human actions, and other factors affecting the system operation. The reliability analysis contains a wealth of human expertise information that is used to build automatic diagnostic routines and which provides a knowledge base that can be used to solve other artificial intelligence problems."
51651255;1994;"US";"G06N   3/082";"26.2";"Probabilistic resource allocation system with self-adaptive capability";"A probabilistic resource allocation system is disclosed containing a low capacity computational module (Short Term Memory or STM) and a self-organizing associative network (Long Term Memory or LTM) where nodes represent elementary resources, terminal end nodes represent goals, and weighted links represent the order of resource association in different allocation episodes. Goals and their priorities are indicated by the user, and allocation decisions are made in the STM, while candidate associations of resources are supplied by the LTM based on the association strength (reliability). Weights are automatically assigned to the network links based on the frequency and relative success of exercising those links in the previous allocation decisions. Accumulation of allocation history in the form of an associative network in the LTM reduces computational demands on subsequent allocations. For this purpose, the network automatically partitions itself into strongly associated high reliability packets, allowing fast approximate computation and display of allocation solutions satisfying the overall reliability and other user-imposed constraints. System performance improves in time due to modification of network parameters and partitioning criteria based on the performance feedback."
51651255;1994;"US";"G06N   3/047";"26.2";"Probabilistic resource allocation system with self-adaptive capability";"A probabilistic resource allocation system is disclosed containing a low capacity computational module (Short Term Memory or STM) and a self-organizing associative network (Long Term Memory or LTM) where nodes represent elementary resources, terminal end nodes represent goals, and weighted links represent the order of resource association in different allocation episodes. Goals and their priorities are indicated by the user, and allocation decisions are made in the STM, while candidate associations of resources are supplied by the LTM based on the association strength (reliability). Weights are automatically assigned to the network links based on the frequency and relative success of exercising those links in the previous allocation decisions. Accumulation of allocation history in the form of an associative network in the LTM reduces computational demands on subsequent allocations. For this purpose, the network automatically partitions itself into strongly associated high reliability packets, allowing fast approximate computation and display of allocation solutions satisfying the overall reliability and other user-imposed constraints. System performance improves in time due to modification of network parameters and partitioning criteria based on the performance feedback."
54223158;1994;"JP";"G10L  15/22";"28.23";"Erroneous input processing method and apparatus in information processing system using composite input";"A user inputs voice through a voice recognition program, a microphone and an A/D converter while pointing by use of a pointing gesture, touch pen or the like with reference to an image displayed on a display unit. For the result of recognition of the inputted voice, a processing or display indicated by a candidate having the first rank of reliability of recognition is performed and an indication showing a plurality of candidates having the second rank and the lower ranks than that is displayed in a menu form on a display screen. In the case where there is an error (that is, in the case where the processing or display indicated by the candidate having the first rank is not a processing intended by the user or the user makes an erroneous input), the error is corrected in such a manner that a correct input candidate is selected by a finger, pen or the like from the displayed menu of candidates having the second rank and the lower ranks than that and a processing operation or display associated with the selected candidate is performed again."
51651255;1994;"US";"G06N   3/047";"62";"Probabilistic resource allocation system with self-adaptive capability";"A probabilistic resource allocation system is disclosed containing a low capacity computational module (Short Term Memory or STM) and a self-organizing associative network (Long Term Memory or LTM) where nodes represent elementary resources, terminal end nodes represent goals, and weighted links represent the order of resource association in different allocation episodes. Goals and their priorities are indicated by the user, and allocation decisions are made in the STM, while candidate associations of resources are supplied by the LTM based on the association strength (reliability). Weights are automatically assigned to the network links based on the frequency and relative success of exercising those links in the previous allocation decisions. Accumulation of allocation history in the form of an associative network in the LTM reduces computational demands on subsequent allocations. For this purpose, the network automatically partitions itself into strongly associated high reliability packets, allowing fast approximate computation and display of allocation solutions satisfying the overall reliability and other user-imposed constraints. System performance improves in time due to modification of network parameters and partitioning criteria based on the performance feedback."
48833900;1994;"US";"G06F  11/2257";"26.2";"Method for identifying a most-probable-point in original space and its application for calculating failure probabilities";"The present invention is a method for identifying a Most-Probable-Point (MPP) in original space obviating the need for a probability transformation, for use in first order/second order reliability analysis. It comprises generating the linear approximation of a limit-state-function, g(x) about the median, mean point, or mode of random variables, x of g(x). g(x) is defined so that g(x)f0 denotes a failure set. The Most-Probable-Point-Locus (MPPL) of g1, MPPL1, is constructed by the steps of: i) identifying the mode of x; ii) identifying the MPP of g1(x)=c, where c is an arbitrary constant, and iii) constructing said MPPL1 by connecting said mode of x from step i), above, and the MPPs corresponding to different c's from step ii), above. A quadratic search algorithm is to identify point MPP1, the intersection of MPPL1 and g(x)=0, based on the following convergence criteria: 1. g(+E,uns x+EE ) = 0 and, <IMAGE> The process is then stopped, unless the convergence criteria are not satisfied. g2, the linear approximation of the limit-state-function, g(x) about MPP1 is generated. MPP21, the Most-Probable-Point of g2(x)=0 is located. The approximate MPPL of g2, MPPL2, is constructed by connecting the mode and the MPP21. The quadratic search algorithm is used to identify point MPP2,, the intersection of MPPL2 and g(x)=0 based on the convergence criteria. gf(x) is updated, where j=2, 3, . . . , m, where m is the total number of steps required for convergence."
48862555;1994;"US";"Y10S 706/924";"26.2";"Apparatus and method for categorizing health care utilization";"An apparatus and method for categorizing health care utilization provides an efficient aid in identifying patients who are seeking inappropriate care. The invention involves a computer system having a neural network responsive to several input variables to categorize the utilization characteristics of the patient. The input variables define selected characteristics of a patient. In one embodiment, a screening process identifies patients who are at high risk to an immediate threat to their health and eliminates those least likely to be seeking inappropriate care."
54223158;1994;"JP";"G10L  15/26";"28.23";"Erroneous input processing method and apparatus in information processing system using composite input";"A user inputs voice through a voice recognition program, a microphone and an A/D converter while pointing by use of a pointing gesture, touch pen or the like with reference to an image displayed on a display unit. For the result of recognition of the inputted voice, a processing or display indicated by a candidate having the first rank of reliability of recognition is performed and an indication showing a plurality of candidates having the second rank and the lower ranks than that is displayed in a menu form on a display screen. In the case where there is an error (that is, in the case where the processing or display indicated by the candidate having the first rank is not a processing intended by the user or the user makes an erroneous input), the error is corrected in such a manner that a correct input candidate is selected by a finger, pen or the like from the displayed menu of candidates having the second rank and the lower ranks than that and a processing operation or display associated with the selected candidate is performed again."
54223158;1994;"JP";"G10L  15/22";"26.2";"Erroneous input processing method and apparatus in information processing system using composite input";"A user inputs voice through a voice recognition program, a microphone and an A/D converter while pointing by use of a pointing gesture, touch pen or the like with reference to an image displayed on a display unit. For the result of recognition of the inputted voice, a processing or display indicated by a candidate having the first rank of reliability of recognition is performed and an indication showing a plurality of candidates having the second rank and the lower ranks than that is displayed in a menu form on a display screen. In the case where there is an error (that is, in the case where the processing or display indicated by the candidate having the first rank is not a processing intended by the user or the user makes an erroneous input), the error is corrected in such a manner that a correct input candidate is selected by a finger, pen or the like from the displayed menu of candidates having the second rank and the lower ranks than that and a processing operation or display associated with the selected candidate is performed again."
51651255;1994;"US";"G06N   3/082";"62";"Probabilistic resource allocation system with self-adaptive capability";"A probabilistic resource allocation system is disclosed containing a low capacity computational module (Short Term Memory or STM) and a self-organizing associative network (Long Term Memory or LTM) where nodes represent elementary resources, terminal end nodes represent goals, and weighted links represent the order of resource association in different allocation episodes. Goals and their priorities are indicated by the user, and allocation decisions are made in the STM, while candidate associations of resources are supplied by the LTM based on the association strength (reliability). Weights are automatically assigned to the network links based on the frequency and relative success of exercising those links in the previous allocation decisions. Accumulation of allocation history in the form of an associative network in the LTM reduces computational demands on subsequent allocations. For this purpose, the network automatically partitions itself into strongly associated high reliability packets, allowing fast approximate computation and display of allocation solutions satisfying the overall reliability and other user-imposed constraints. System performance improves in time due to modification of network parameters and partitioning criteria based on the performance feedback."
